QUESTION	ANSWER	SOURCE	CATEGORY	
Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания_Какие основания для отказа в приеме документов?	" непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"	< ID_Вопроса_в_БД: 11 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания	Детская карта	
Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания_Какие основания для отказа в предоставлении услуги?	"Отсутствие у заявителя права на получение компенсационной выплаты;
представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя."	< ID_Вопроса_в_БД: 12 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания	Детская карта	
Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания_Срок предоставления услуги?	"не более 44 рабочих дней со дня подачи заявления со всеми необходимыми для предоставления государственной услуги документами в МФЦ.
Срок принятия администрацией района решения о назначении компенсационной выплаты или об отказе в ее назначении - 10 рабочих дней со дня подачи заявления и документов в случае, если указанные документы не требуют проверки содержащихся в них сведений."	< ID_Вопроса_в_БД: 13 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания	Детская карта	
Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания_В каком случае учитываются в составе семьи пасынки и падчерицы?	"Только в случаях, прямо предусмотренных Социальным кодексом и Порядками №1 
и № 2. Пасынки и падчерицы учитываются в составе семьи, если они проживают совместно.
Пасынки и падчерицы – это ребенок (дети) одного из супругов по отношению 
к другому супругу, только в случае если брак между ними заключен.
"	< ID_Вопроса_в_БД: 14 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания	Детская карта	
Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания_Необходимо ли легализовывать документы, выданные на территории иностранного государства (проставлять «апостиль»)?	"На документах должен быть проставлен «апостиль» в соответствии с Гаагской конвенцией, отменяющей требование легализации иностранных официальных документов либо справка должна быть легализована консульским учреждением Российской Федерации за пределами территории Российской Федерации (Российская Федерация присоединилась 
к Гаагской конвенции с 31.05.1992).
В случае если между иностранным государством и Российской Федерацией заключен договор, отменяющий или упрощающий данную процедуру, или освобождает документ от легализации (второй абзац статьи 3 Гаагской конвенции), проставление «апостиль» 
не требуется, достаточно нотариально заверенного перевода на русский язык.
"	< ID_Вопроса_в_БД: 15 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания	Детская карта	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания_В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) администрация какого района принимает решение?
б) сроки назначения?
"	"В случае установления места жительства семьи в Санкт-Петербурге по решению суда:
а) решение принимается администрацией района по месту жительства семьи, который указан в решении суда (как по аналогии с лицами «БОМЖ»);
б) пособия назначаются по срокам, как лицам, имеющим место жительства в Санкт-Петербурге. 
"	< ID_Вопроса_в_БД: 16 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания	Детская карта	
Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания_При одновременном рождении двух и более детей каким образом устанавливается очередность рождения детей?	"В соответствии с информацией, полученной посредством межведомственного взаимодействия от органов ЗАГСа, очередность рождения детей можно определить по актовой записи в свидетельствах о рождении.
"	< ID_Вопроса_в_БД: 17 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания	Детская карта	
"Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания_Нужно ли запрашивать справку из другого субъекта Российской Федерации 
о неполучении аналогичных выплат при назначении ЕКВ при рождении ребенка (усыновлении в возрасте до шести месяцев) 
в случае переезда семьи в Санкт-Петербург, ранее аналогичную выплату получили 
по месту жительства.
"	"Нет, не нужно, так как в комплекте документов при назначении ЕКВ при рождении ребенка (усыновлении в возрасте до шести месяцев) указанная справка не требуется.
"	< ID_Вопроса_в_БД: 18 > Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания	Детская карта	
Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)_Кто может оформить услугу?	" дети-сироты и дети, оставшиеся без попечения родителей, являющиеся гражданами Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге, в лице законных представителей (опекуна, попечителя, руководителя организации для детей-сирот и детей, оставшихся без попечения родителей);лица из числа детей-сирот и детей, оставшихся без попечения родителей, являющиеся гражданами Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге"	< ID_Вопроса_в_БД: 19 > Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)		
"Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)_Определение ""Дети-сироты"""	"граждане в возрасте до 18 лет, у которых умерли оба или единственный родитель;"	< ID_Вопроса_в_БД: 20 > Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)		
"Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)_Определение ""Дети, оставшиеся без попечения родителей"""	"граждане в возрасте до 18 лет, которые остались без попечения единственного родителя или обоих родителей в связи с лишением их родительских прав, ограничением их в родительских правах, признанием родителей безвестно отсутствующими, недееспособными (ограниченно дееспособными), объявлением их умершими, установлением судом факта утраты лицом попечения родителей, отбыванием родителями наказания в учреждениях, исполняющих наказание в виде лишения свободы, нахождением родителей в местах содержания под стражей подозреваемых и обвиняемых в совершении преступлений, уклонением родителей от воспитания своих детей или от защиты их прав и интересов, отказом родителей взять своих детей из образовательных организаций, медицинских организаций, организаций, оказывающих социальные услуги, а также в случае, если единственный родитель или оба родителя неизвестны, в иных случаях признания детей оставшимися без попечения родителей в установленном законом порядке;"	< ID_Вопроса_в_БД: 21 > Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)		
"Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)_Определение ""лица из числа детей-сирот и детей, оставшихся без попечения родителей"""	"граждане в возрасте от 18 до 23 лет, у которых, когда они находились в возрасте до 18 лет, умерли оба или единственный родитель, а также которые остались без попечения обоих или единственного родителя и имеют в соответствии с действующим законодательством право на дополнительные гарантии по социальной поддержке.
"	< ID_Вопроса_в_БД: 22 > Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)		
Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)_Как узнать назначена ли выплата?	"Сведения могут быть отражены в ЭСРН в разделе ""Примечания"""	< ID_Вопроса_в_БД: 23 > Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)		
Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)_Когда начинает предоставлять выплата?	"с месяца возникновения права на предоставление дополнительной меры социальной поддержки по оплате жилого помещения и коммунальных услуг, если заявление поступило не позднее шести месяцев с месяца возникновения указанного права;
с месяца подачи заявления, если заявление поступило по истечении шести месяцев с месяца возникновения права на предоставление дополнительной меры социальной поддержки по оплате жилого помещения и коммунальных услуг."	< ID_Вопроса_в_БД: 24 > Предоставлять дополнительные меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации оплаты за жилое помещение и коммунальные услуги, за топливо и транспортные услуги для доставки этого топлива (для лиц, проживающих в домах, не имеющих центрального отопления)		
